Waktu,Suhu,Cahaya,PWM,Tegangan
0.5,29.0,339,130,1.5
1.0,29.0,339,104,1.2
1.5,29.0,339,105,1.2
2.0,29.0,339,105,1.2
2.5,29.0,339,105,1.2
3.0,29.0,339,105,1.2
3.5,29.0,339,105,1.2
4.0,29.0,339,105,1.2
4.5,29.0,339,105,1.2
5.0,29.0,339,105,1.2
5.5,29.0,339,106,1.2
6.0,29.0,339,106,1.2
6.5,29.0,339,106,1.2
7.0,29.0,339,106,1.2
7.5,49.9,529,590,7.0
8.0,49.9,529,492,5.9
8.5,49.9,529,492,5.9
9.0,49.9,529,493,5.9
9.5,49.9,529,494,5.9
10.0,49.9,529,494,5.9
10.5,49.9,529,495,5.9
11.0,49.9,529,495,5.9
11.5,49.9,529,496,5.9
12.0,49.9,529,497,5.9
12.5,49.9,529,497,5.9
13.0,49.9,529,498,5.9
13.5,49.9,529,498,5.9
14.0,49.9,529,499,5.9
14.5,49.9,529,500,6.0
15.0,49.9,529,500,6.0
15.5,71.9,719,999,12.0
16.0,71.9,719,914,10.9
16.5,71.9,719,914,10.9
17.0,71.9,719,914,10.9
17.5,71.9,719,914,10.9
18.0,71.9,719,914,10.9
18.5,71.9,719,914,10.9
19.0,71.9,719,914,10.9
19.5,71.9,719,914,10.9
20.0,71.9,719,914,10.9
20.5,71.9,719,914,10.9
21.0,71.9,719,914,10.9
21.5,71.9,719,914,10.9
22.0,71.9,719,914,10.9
22.5,71.9,719,914,10.9
23.0,71.9,719,914,10.9
23.5,30.9,220,2,0.0
24.0,30.9,220,56,0.6
24.5,30.9,220,56,0.6
25.0,30.9,220,56,0.6
25.5,30.9,220,56,0.6
26.0,30.9,220,56,0.6
26.5,30.9,220,56,0.6
27.0,30.9,220,56,0.6
27.5,30.9,220,56,0.6
28.0,30.9,220,56,0.6
28.5,30.9,220,56,0.6
29.0,30.9,220,56,0.6
29.5,30.9,220,56,0.6
30.0,30.9,220,56,0.6
30.5,30.9,220,56,0.6
31.0,30.9,220,56,0.6
31.5,30.9,220,56,0.6
32.0,30.9,220,56,0.6
32.5,30.9,220,56,0.6
33.0,30.9,220,56,0.6
33.5,30.9,220,56,0.6
34.0,30.9,220,56,0.6
34.5,30.9,220,56,0.6
35.0,30.9,220,56,0.6
35.5,73.9,719,999,12.0
36.0,73.9,719,946,11.3
36.5,73.9,719,946,11.3
37.0,73.9,719,946,11.3
37.5,73.9,719,946,11.3
38.0,73.9,719,946,11.3
38.5,73.9,719,946,11.3
39.0,73.9,719,946,11.3
39.5,73.9,719,946,11.3
40.0,73.9,719,946,11.3
40.5,73.9,719,946,11.3
41.0,73.9,719,946,11.3
41.5,73.9,719,946,11.3
42.0,73.9,719,946,11.3
42.5,73.9,309,999,12.0
43.0,73.9,309,999,12.0
43.5,73.9,309,999,12.0
44.0,73.9,309,999,12.0
44.5,73.9,309,999,12.0
45.0,73.9,309,999,12.0
45.5,29.0,309,2,0.0
46.0,29.0,309,134,1.6
46.5,29.0,309,134,1.6
47.0,29.0,309,134,1.6
47.5,29.0,309,134,1.6
48.0,29.0,309,134,1.6
48.5,29.0,309,134,1.6
49.0,29.0,309,134,1.6
